ID,Name,Description,Action,Price,Mana,Level,MaxLevel,Tier,DecayTo,AIKeepSequence,AIPlaySequence
51,Burn,Your opponent starts burning. At the start of their turn. they will take 1 @fir damage for the remainder of the fight.,0,-1,0,0,0,2,,25,50
52,Burn (2),Your opponent starts burning. At the start of their turn. they will take 2 @fir damage for the remainder of the fight.,0,-1,0,0,0,4,,40,50
53,Shark Bite,Deal 2 @atk damage. Your opponent becomes <Weakened 1> for the remainder of the fight.,0,-1,0,0,0,4,,60,10
54,Shark Bite (2),Deal 2 @atk damage. Your opponent becomes <Weakened 2> for the remainder of the fight.,0,-1,0,0,0,6,,60,10
55,Thrash,Deal 1 @atk damage. Draw a card.,0,-1,0,0,0,4,,60,40
56,Infect (1),Your opponent becomes <Poisoned 1> ^.,0,15,0,1,3,2,Attack1,15,50
57,Infect (2),Your opponent becomes <Poisoned 2> ^.,0,25,0,2,3,3,Infect1,20,50
58,Infect (3),Your opponent becomes <Poisoned 3> ^.,0,35,0,3,3,4,Infect2,30,50
59,Mana (1),Gain 2 mana.,0,5,0,1,3,1,,10,48
60,Mana (2),Gain 4 mana.,0,7,0,2,3,1,Mana1,10,48
61,Mana (3),Gain 6 mana.,0,15,0,3,3,2,Mana2,10,48
62,Dragon's Wisdom,Gain 10 mana.,0,30,0,0,0,5,Mana3,30,48
63,Flame Charge,Gain 3 mana. Deal 3 @fir damage.,0,12,0,0,0,2,Mana3,20,48
64,Frost Charge,Gain 3 mana. Your opponent becomes <Chilled 1> until the end of their next turn.,0,12,0,0,0,2,Mana3,20,48
65,Static Charge,Gain 3 mana. Draw the next mana card in your deck.,0,12,0,0,0,2,Mana3,20,48
66,Stone Charge,Gain 3 mana. Prevent the next 3 damage that would be dealt to you.,0,12,0,0,0,2,Mana3,20,48
67,Salve,Gain 3 mana and 3 health.,0,12,0,0,0,2,Mana3,20,48
68,Wisdom,Gain 3 mana. Draw a card.,0,20,0,0,0,3,Mana3,40,40
69,Piety,Gain 3 mana. Remove a counter from each of your prayer cards.,0,15,0,0,0,4,Mana3,30,48
70,Clarity,Gain 3 mana. Your spells cost 3 less this turn.,0,20,0,0,0,4,Mana3,20,10
71,Mana Surge,Gain 10 mana.,0,35,0,0,0,6,Mana3,40,48
72,Raw Power,Gain 5 mana. The next time your opponent would take elemental damage. it is instead <piercing> ^.,0,35,0,0,0,6,Mana3,20,48
73,Elusive Power,Gain 5 mana. Until your next turn. prevent the next card your opponent plays from having any effect.,0,35,0,0,0,5,Mana3,40,48
74,Inspiration,Gain 5 mana. Draw the next spell card in your deck.,0,50,0,0,0,7,Mana3,20,40
75,Kinetic Charge,Until your next turn. gain 1 mana for each point of damage you take. Draw a card.,0,30,0,0,0,7,Mana3,30,49
76,Mana Swell,Gain 5 mana. The next time you cast a spell this turn. cast a second copy of that spell.,0,60,0,0,0,8,Mana3,20,30
77,Overload,Double your current mana (maximum gain of 30).,0,60,0,0,0,8,Mana3,30,49
78,Conduit,Your spells are free this turn.,0,50,0,0,0,8,Mana3,30,10
79,Elemental Surge,Gain 4 mana.  Draw one of Fireball. Frost Bolt. Shock. or Acid Lance.  That card is <temporary> ^.,0,45,0,0,0,5,SummonCompanions,50,50
80,Jasra's Jarring Jolt,Deal 1 @air ^. 1 @ear ^. 1 @fir ^. and 1 @wat damage.,0,10,2,0,0,1,Sear,10,50
81,Blur,You are physical resistant until your next turn.,0,25,2,0,0,3,Mana3,40,50
82,Wrath of God,Draw 5 cards. Discard all non-attack cards from your hand.,0,60,2,0,0,7,Haste,90,40
83,Soul Siphon,Play this card only if your opponent has at most 5 health. Win the fight. Gain 1 mana permanently.,0,10,1,0,0,1,Sear,10,50
84,Orison,Gain 4 health. <Overhealing> becomes a shield.,0,10,2,0,0,1,Salve,10,50
85,Heal,Gain 5 health.,0,15,1,0,0,2,Orison,30,50
86,Ward,Prevent the next 8 damage that would be dealt to you.,0,30,3,0,0,4,Heal,40,50
87,Divine Inspiration,Search your deck for any card and put it into your hand.,0,25,1,0,0,3,Wisdom,10,50
88,Drain Life,Deal 4 <piercing> damage. Gain 4 health.,0,25,3,0,0,3,Sear,30,90
89,Haste,Draw 2 cards. In addition. you have a 10% chance to gain an extra turn.,0,25,4,0,0,4,Wisdom,50,40
90,Mind Sear,Choose one: @atk ^: Deal 5 <piercing> damage or @card ^: draw 2 cards,0,50,2,0,0,5,SiphonLife,40,40
91,Crumble,Exile an equipment or prayer card.,0,30,2,0,0,6,Heal,50,50
92,Invisibility,Gain 20% dodge for the rest of the fight.,0,35,3,0,0,6,Blur,60,50
93,Bless,Gain 15 health. <Overhealing> becomes a shield.,0,45,7,0,0,6,Ward,60,50
94,Soulfire,Deal 10 <piercing> damage to your opponent. \n\nAt the beginning of your turn. if Soulfire is in your discard pile. return it to your hand,0,60,5,0,0,7,SiphonLife,30,50
95,Penance,Your opponent takes 2 <piercing> damage at the start of each turn for the remainder of the fight.,0,25,2,0,0,5,SiphonLife,50,50
96,Force of Will,Deal 1 <piercing> damage to your opponent for each card in your deck.,0,35,4,0,0,5,Sear,50,50
97,Eye for an Eye,Until your next turn. whenever your opponent deals damage to you. you deal that much damage to them (before reductions or immunities).,0,55,4,0,0,8,Blur,80,50
98,Vapor Form,Become physical immune until your next turn.,0,65,5,0,0,8,Blur,80,50
99,Elemental Shroud,You take half damage from elemental sources until your next turn.,0,45,3,0,0,8,Blur,80,50
100,Shrink,Your opponent loses half their health. rounded down (maximum loss of 60).,0,80,12,0,0,9,Meteor,90,30
101,Stasis,Draw 3 cards.,0,80,5,0,0,9,Haste,90,50
102,Absorb Vis,Gain up to 40 health. then deal <piercing> damage equal to the health gained this way.,0,100,15,0,0,10,Shrink,100,50
103,Purifying Light,Gain 10 health. <Overhealing> is converted into <piercing> damage to your opponent.,0,30,2,0,0,8,Heal,80,80
104,Mahamat,Choose 2 at random: Draw 3 cards. deal 10 <piercing> damage to your opponent. gain 15 health. or prevent the next 15 damage that would be dealt to you.,0,80,8,0,0,10,Ward,100,40
105,Fireball,Deal 8 @fir damage.,0,25,4,0,0,3,Sear,30,50
106,Frost Bolt,Deal 4 @wat damage. doubled if your opponent is <Chilled> ^. Your opponent becomes <Chilled 1> until the end of their next turn.,0,25,3,0,0,3,Sear,30,50
107,Shock,Deal 4 @air damage. Draw the next spell card in your deck.,0,25,4,0,0,3,Sear,30,50
108,Acid Lance,Your opponent becomes <Poisoned 4> ^.,0,25,3,0,0,3,Sear,30,50
109,Meteor,Deal 20 @fir damage.,0,50,10,0,0,6,Fireball,60,50
110,Acid Rain,Your opponent becomes <Poisoned 6> ^.,0,50,5,0,0,6,AcidLance,60,50
111,Blizzard,Deal 10 @wat damage. doubled if your opponent is <Chilled> ^. Your opponent becomes <Chilled 2> until the end of their next turn.,0,50,7,0,0,6,FrostBolt,60,50
112,Electrocute,Deal 5 @air damage plus 1 @air damage for each mana you have left after casting Electrocute.,0,50,5,0,0,6,Shock,60,50
113,Conflagration,Deal 30 @fir damage. At the start of your next turn. deal another 30 @fir damage.,0,90,20,0,0,9,Meteor,90,50
114,Storm,Deal 10 @air damage. If you have at least 30 mana. lose 30 mana and take an extra turn after this one.,0,90,0,0,0,9,Electrocute,90,90
115,Blight,Your opponent becomes <Poisoned 5> ^. Double the amount of poison on your opponent (maximum 30 additional poison).,0,90,12,0,0,9,AcidRain,90,90
116,Freeze,Deal 15 @wat damage. doubled if your opponent is <Chilled> ^. Your opponent becomes <Chilled 3> until the end of their next turn and <Chilled 1> for the remainder of the fight.,0,90,15,0,0,9,Blizzard,90,50
117,Earth Shape,Gain <Damage Reduction 2> until your next turn.,0,35,2,0,0,5,Blur,50,50
118,Frost Shape,Prevent the next 5 damage that would be dealt to you. For each point of damage prevented. deal 1 @wat damage to your opponent.,0,35,2,0,0,5,Blur,50,50
119,Fire Shape,For the rest of the fight. whenever the opponent plays an attack card. they take 2 @fir damage.,0,35,2,0,0,5,Blur,50,50
120,Storm Shape,Until your next turn. damage taken first reduces your mana instead of your health and. so long as you have mana. is reduced by half.,0,35,2,0,0,5,Blur,50,50
121,Nature's Blessing,Deal 10 @fir damage. Your opponent becomes <Poisoned 5> and <Chilled 2> ^. Draw the next spell card in your deck.,0,-1,10,0,0,8,ElementalSurge,80,50
122,Summon Companions,Draw one of Wolf. Turtle. or Eagle.  That card is <temporary> ^.,0,-1,2,0,0,1,Sear,20,50
123,Sear,Deal 2 @fir damage.,0,-1,1,0,0,1,,10,50
124,Explosion,Deal 10 @fir damage.,0,-1,15,0,0,3,,50,50
125,Slow,Your opponent discards a card and loses 1 @tim ^.,0,-1,3,0,0,2,,20,50
126,Thunder Storm,Deal 10 @air damage.,0,-1,15,0,0,3,,50,50
127,Solidify,Your opponent discards 3 cards and loses 3 @tim ^.,0,-1,8,0,0,6,,60,50
128,Dark Mending,Completely heal. then deal <piercing> damage equal to half the health gained this way.,0,-1,5,0,0,8,,100,50
129,Discharge,Deal 1 @air damage for each mana you have left after casting Discharge. Lose physical immunity until your next turn.,0,-1,0,0,0,6,Shock,60,50
130,Healing Potion,Completely heal. This card is removed from the game and your deck permanently after use.,1,7,0,0,0,2,,90,50
131,Fire Bomb,Deal 5 @fir damage. This card is removed from the game and your deck permanently after use.,1,10,0,0,0,1,,10,50
132,Bandage,Gain 3 health.,1,5,0,0,0,2,Strike,20,50
133,Sift,Draw 3 cards. then discard 3 cards.,0,10,0,0,0,1,Strike,10,30
134,Last Chance,Take an extra turn. If your opponent is alive at the end of that turn. die.,1,35,0,0,0,6,Strike,60,50
135,Study Guide,Choose a card in your opponent's discard pile. Take it and add it to your deck permanently. This card is removed from the game and your deck permanently after use.,1,3,0,0,0,1,,20,50
136,Tiltowait,Deal 20 <piercing> damage.,1,3,0,0,0,10,Pierce3,100,50
137,Slap,Deal 1 @atk damage.,1,10,0,0,0,1,,10,50
138,Slice,Deal 1 @atk damage. Draw a card.,1,10,0,0,0,2,Strike,40,50
139,Dice,Deal 2 @atk damage for each action card in play.,1,55,0,0,0,7,Backstab,80,90
140,Pilfer,Steal an equipment card your opponent controls until it is destroyed or the fight ends.,1,30,0,0,0,7,Crush,70,50
141,Swiftness,Gain 2 @tim ^. Draw a card.,1,20,0,0,0,2,Slice,10,50
142,Alacrity,Gain 3 @tim ^. Draw a card.,1,35,0,0,0,5,Swiftness,40,50
143,Jab,Deal 1 @atk damage. Draw a card. Gain 1 @tim ^.,1,25,0,0,0,5,Slice,50,50
144,Avoid,Gain 50% dodge until your next turn. Draw a card.,1,45,0,0,0,7,Strike,50,50
145,Venom,Your opponent becomes <Poisoned 3> ^.,1,10,0,0,0,1,Infect1,30,50
146,Mimic,Choose an action card in play and copy its effects.,1,30,0,0,0,4,Strike,40,80
147,Evasion,Exile Evasion from your deck for the remainder of the fight. You take no damage until your next turn.,1,80,0,0,0,9,,90,50
148,Circle,Draw a card and gain 1 @tim ^. At the end of your turn. draw a card and gain 1 @tim ^.,1,25,0,0,0,3,Swiftness,30,40
149,Expose,Your opponent is <Weakened 2> this turn.,1,80,0,0,0,8,Strike,60,9
150,Sidestep,Draw a card. The next time you deal damage this turn. double it.,1,60,0,0,0,9,Preparation,90,40
151,Hemorrhage,Your opponent becomes <Poisoned 3> ^. Draw a card.,1,40,0,0,0,7,Venom,70,50
152,Preparation,The next time you deal damage this turn. double it.,1,40,0,0,0,6,Strike,60,40
153,Desperate Strike,This card has the effect of a random non-\Desperate Strike\ action card from your deck.,1,15,0,0,0,2,Strike,20,50
154,Bleed,Draw a card. Gain 1 @tim ^. Your opponent becomes <Poisoned 1> ^.,1,30,0,0,0,6,Slice,60,50
155,Coup de Grace,Discard your hand and lose all @tim ^. Deal 6 @atk damage plus 3 for each card and @tim lost this way.,1,80,0,0,0,8,Strike3,50,50
156,Accelerate,Draw 3 cards. Gain 3 @tim ^.,1,120,0,0,0,10,Focus,100,50
157,Penetrating Palm,This turn. damage you deal is <piercing> ^.,1,75,0,0,0,8,Strike,80,50
158,Strike (1),Deal 5 @atk damage. \n Warning: Higher levels of Strike cost additional @tim to play.,2,15,0,1,3,2,Strike,20,50
159,Strike (2),Deal 10 @atk damage. \n Warning: Higher levels of Strike cost additional @tim to play.,3,25,0,2,3,5,Strike1,50,50
160,Strike (3),Deal 15 @atk damage. \n Warning: Higher levels of Strike cost additional @tim to play.,4,35,0,3,3,7,Strike2,70,50
161,Kick,Deal 1 @atk damage. Your opponent discards a card at random.,1,15,0,0,0,3,Strike,30,50
162,Pickpocket,Gain 3 gold. Exile Pickpocket for the rest of the fight.,1,5,0,0,0,2,,20,50
163,Skewer,Draw a card. Gain 1 @tim ^. Your opponent is <Weakened 1> this turn.,1,60,0,0,0,9,Jab,90,10
164,Dodge,Gain 50% dodge until your next turn.,1,25,0,0,0,4,Dodge,70,50
165,Recycle,Discard all other cards in play. Draw a card. Exile Recycle for the rest of the fight.,1,10,0,0,0,6,Strike,60,90
166,Piercing Stab,Your next source of damage this turn is <piercing> ^. Draw a card.,1,30,0,0,0,7,Slice,40,50
167,Mental Fortress,Discard your hand. Gain a shield of strength 5 + 5 for each card discarded this way.,1,75,0,0,0,8,Bandage,80,50
168,Extract,Look at the top 10 cards of your opponent's deck. Exile up to 2.,1,45,0,0,0,8,Heal,60,50
169,Focus,Draw 2 cards.,1,45,0,0,0,6,Sift,60,40
170,Inner Focus,Draw 2 cards. Discard a card.,1,10,0,0,0,3,Sift,30,50
171,Inner Peace,Draw 3 cards. Discard 2 cards.,1,25,0,0,0,5,InnerFocus,40,50
172,Meditation,Exile up to 2 cards from your deck for the rest of the fight. Draw a card.,1,40,0,0,0,6,InnerFocus,50,50
173,Study,Draw 3 cards. Discard 1 card.,1,55,0,0,0,8,Sift,80,50
174,Curse of Weakness,Shuffle 2 curse cards (which do nothing) into your opponent's deck. Draw a card.,1,50,0,0,0,5,Strike,30,50
175,Second Thoughts,Draw a card. \n \n If you discard Second Thoughts to an effect. draw 2 cards.,1,20,0,0,0,3,Sift,40,50
176,Second Wind,Gain 2 health. Draw a card. \n \n If you discard Second Wind to an effect. gain 10 health.,1,30,0,0,0,6,InnerStrength,60,50
177,Psionic Blast,Discard a card from your hand. If you do. deal 10 @atk damage.,1,25,0,0,0,4,Strike,40,30
178,Pure Thoughts,Draw 3 cards. Exile 2 cards from your hand for the rest of the fight.,1,30,0,0,0,5,InnerPeace,50,50
179,Second Strike,Deal 2 <piercing> damage. Draw a card. \n \n If you discard Second Strike to an effect. deal 10 <piercing> damage.,1,45,0,0,0,8,SecondWind,80,50
180,Anticipate,Look at your opponent's hand. Choose a card from it and add it to your hand. It goes to their discard pile when discarded.,1,75,0,0,0,9,Charm,90,50
181,Charm,Look at your opponent's hand. Choose a card from it. They discard that card.,1,30,0,0,0,5,Strike,50,50
182,Bewitch,Look at your opponent's hand. Choose a card from it. They exile that card.,1,65,0,0,0,8,Charm,80,50
183,Channel,Your next spell cast this turn has its effect doubled.,1,40,0,0,0,5,Mana2,20,40
184,Misdirection,Your opponent discards all attack cards in their hand.,1,40,0,0,0,5,Strike,50,50
185,Rush,Deal physical damage equal to 1/4 of your current health (rounded down).,1,40,0,0,0,6,Strike,80,50
186,Stoneskin,Gain <Damage Reduction 2> until your next turn.,1,30,0,0,0,4,Strike,60,50
187,Overpower,Draw a card for each equipment you control.,1,80,0,0,0,10,Focus,100,80
188,Battle Cry,Draw a card for each Attack card in play.,1,90,0,0,0,10,Focus,80,95
189,Choke,Deal 3 @atk damage. Your opponent loses all their mana.,1,20,0,0,0,4,Strike,40,50
190,Execute,Play this card only if your opponent has at most 12 health. Win the fight.,1,25,0,0,0,3,Strike,30,50
191,Crush,Destroy an equipment card. If you do. deal 3 @atk damage.,1,15,0,0,0,5,Strike,50,50
192,Hamstring,Your opponent discards all action cards from their hand. Deal 3 @atk damage.,1,25,0,0,0,4,Strike,60,50
193,Blade Flurry,You deal double damage this turn.,1,130,0,0,0,10,Sidestep,100,8
194,Shield Wall,Prevent the next 8 damage that would be dealt to you,1,45,0,0,0,5,Stoneskin,70,50
195,Troll Hide,For the rest of the fight. gain 2 health at the start of your turn.,1,35,0,0,0,5,Bandage,50,50
196,Obliterate,Destroy all equipment (yours and your opponent's). Deal 5 @atk damage for each equipment destroyed.,1,45,0,0,0,8,Crush,80,50
197,Wall of Swords,This turn. whenever you deal damage. gain a shield that prevents that much damage.,1,110,0,0,0,10,ShieldWall,80,8
198,Resilience,Until your next turn. damage dealt to you in excess of 3 is reduced to 3. Draw a card.,1,35,0,0,0,5,Stoneskin,50,50
199,Flee,Run away from the current fight.,1,3,0,0,0,1,,0,50
200,Mana Potion,Your mana is set to its maximum value. This card is removed from the game and your deck permanently after use.,1,-1,0,0,0,2,,20,50
201,Storm Palm,This turn. damage you do is @air damage.,1,20,0,0,0,4,,40,50
202,Flame Palm,This turn. damage you do is @fir damage.,1,25,0,0,0,5,,50,50
203,Acid Palm,This turn. damage you do is @ear damage.,1,20,0,0,0,4,,40,50
204,Frost Palm,This turn. damage you do is @wat damage.,1,20,0,0,0,4,,40,50
205,Lich Kick,Destroy all Phylacteries in play.,1,10,0,0,0,1,,0,50
206,Dragon's Breath,Deal 10 @fir damage.,1,-1,0,0,0,5,Strike,25,50
207,Dragon's Hide,Gain <Damage Reduction 3> until your next turn.,1,-1,0,0,0,6,Strike,80,50
208,Dragon's Roar,Your opponent discards 3 cards.,1,-1,0,0,0,7,Strike,60,50
209,Dragon's Snack,If your opponent has at most 5 health. it dies. If it dies this way. gain benefits as if you had devoured it.,1,-1,0,0,0,3,Strike,30,50
210,Dragon's Tail,Deal 3 @atk damage. Opponent loses all their @tim and mana.,1,-1,0,0,0,5,Strike,60,50
211,Eagle,Deal 2 @atk damage. Draw a card.,0,-1,0,0,0,3,Strike,30,50
212,Wolf,Your opponent becomes <Poisoned 3> ^.,0,-1,0,0,0,3,Strike,30,50
213,Turtle,Prevent the next 6 damage that would be dealt to you.,0,-1,0,0,0,3,Strike,30,50
214,Tongue Lash,Your opponent becomes <Poisoned 2> ^.,1,-1,0,0,0,3,,50,50
215,Tongue Lash,Your opponent becomes <Poisoned 4> ^.,1,-1,0,0,0,5,,50,50
216,Coin Toss,Deal 5 <piercing damage> ^. Your opponent gains 5 gold. Exile Coin Toss.,0,-1,0,0,0,1,,50,50
217,Gag,Your opponent discards all spell cards from their hand. Deal 3 @atk damage.,1,35,0,0,0,4,Strike,40,50
218,Hide,Draw a card. Until your next turn. prevent the next card your opponent plays from having any effect.,1,35,0,0,0,5,Strike,50,50
219,Escape,Begin to run away. The third time you do this. lose the current combat. but provide no reward.,1,-1,0,0,0,1,,50,50
220,Goblin Bomb,If you have a goblin lackey in play. it is destroyed and your opponent takes 5 @fir damage.,1,-1,0,0,0,2,,50,50
221,Mind Drain,Gain 1 @tim ^. Look at your opponent's hand and choose an action card. Add it to your hand.,1,-1,0,0,0,5,,50,50
222,Sprite Stab,Deal 2 @atk damage. Draw a card.,1,-1,0,0,0,3,,50,50
223,Mana Drain,Your opponent loses 5 mana. Gain mana equal to the amount lost this way.,1,-1,0,0,0,2,,50,50
224,Suffocate,Your opponent discards 2 cards and becomes <Chilled 1> ^.,1,-1,0,0,0,6,,50,50
225,Bone Shield,Prevent the next 4 damage that would be dealt to you.,1,-1,0,0,0,2,,50,50
226,Bone Shield (2),Prevent the next 6 damage that would be dealt to you.,1,-1,0,0,0,3,,50,50
227,Vampire Bite,Deal 2 @atk damage. Gain 2 health.,1,-1,0,0,0,2,,50,50
228,Vampire Bite (2),Deal 3 @atk damage. Gain 3 health.,1,-1,0,0,0,3,,50,50
229,Slam,Deal damage equal to 1/5 of your current health. rounded up (maximum 15 damage).,1,-1,0,0,0,6,,50,50
230,Flame Breath,Deal 10 @fir damage.,1,-1,0,0,0,5,,50,50
231,Dragon Scales,Gain <Damage Reduction 2> until your next turn.,1,-1,0,0,0,5,,50,50
232,Dragon Scales (2),Gain <Damage Reduction 3> until your next turn.,1,-1,0,0,0,6,,50,50
233,Acid Breath,Your opponent becomes <Poisoned 4> ^.,1,-1,0,0,0,6,,50,50
234,Lightning Breath,Deal 5 @air damage. Your opponent loses 2 @tim ^.,1,-1,0,0,0,6,,50,50
235,Frost Breath,Deal 5 @wat damage. Your opponent discards 2 cards.,1,-1,0,0,0,8,,50,50
236,Storm Stab,Deal 2 @air damage. Draw a card. Gain 1 @tim ^.,1,-1,0,0,0,6,,50,50
237,Shred,Deal 2 @atk damage. Deal 2 @atk damage for each Claw card in play.,1,-1,0,0,0,3,,50,80
238,Claw,Deal 2 @atk damage.,1,-1,0,0,0,1,,50,50
239,Swipe,Gain 2 @tim and deal 1 @atk damage.,1,-1,0,0,0,2,,50,50
240,Pounce,Draw 3 cards. then remove Pounce from your deck for the remainder of the fight.,1,-1,0,0,0,6,,50,10
241,Chaos Prayer,Choose one at random: Heal 5 health. or your opponent loses 2 @tim ^. or your opponent discards 2 cards. or you take 3 @fir damage.,1,-1,0,0,0,3,,50,50
242,Stone,Shuffle 2 curse cards (which do nothing) into your opponent's deck. Your opponent discards a card.,1,-1,0,0,0,4,,50,50
243,Sting,Your opponent becomes <Poisoned 2> ^.,1,-1,0,0,0,3,,50,50
244,Scream,Your opponent discards 2 cards.,1,-1,0,0,0,5,,50,50
245,Web,Your opponent discards a card and loses 1 @tim ^.,1,-1,0,0,0,2,,50,50
246,Web (2),Your opponent discards 2 cards and loses 2 @tim ^.,1,-1,0,0,0,5,,50,50
247,Zombie Bite,Your opponent gains 5 ranks of diseased. At the beginning of their turn. they lose 1 rank of diseased. When the last is removed. they die.,1,-1,0,0,0,1,,50,50
248,Golem Armor,For the remainder of the fight. at the beginning of your turns. gain 1 level of protection. This protection stops the first 3 @atk damage dealt to you that turn.,1,-1,0,0,0,6,,50,50
249,Gore,Deal 5 @atk damage.,1,-1,0,0,0,2,,50,50
250,Enthrall,Look at your opponent's hand. Choose a card from it and add it to your hand. It goes to their discard pile when discarded.,1,-1,0,0,0,4,,50,50
251,Three Wishes,Present your opponent with three options. They choose one.,1,-1,0,0,0,3,,50,50
252,Three Wishes,Present your opponent with three options. They choose one.,1,-1,0,0,0,6,,50,50
253,Zap,Your opponent loses all mana and @tim ^.,1,-1,0,0,0,6,,50,50
254,Crush Everything,Destroy all your opponent's equipment. Exile this card.,1,-1,0,0,0,5,,50,50
